Trig_date,District,Chiefdom,Section,Name_of_community,t_q1,t_q2,t_q3,t_q4,t_q5,t_q6,t_q7,t_q8,t_q9,t_q10,t_q11
2014-11-15,Moyamba,Mano Dasse,Semabu,Semabu,NA,1,1,Imam,High,"according to them,the Ebola virous has greatly affected their movement from one place to another.",Does the government have any solution to this problem?,"visiting burial homes,washing dead bodies,keeping sick persons at home.","washing of dead body is not allowed,visitors are not allowed in the community.",they are not allowed to accommodate  any stranger without the knowledge of the town chief.,the only obstacle is the fact that the  mobilizers did not bring any material for them to start implimenting some of the by-laws.
2014-11-24,Moyamba,Fakunya,Njawa,Mokorewa,NA,1,1,student,Very High,the institution of public health emergence is a very serious concern that is affecting their movement.,they raised concern about the feeding of the quarratined homes in the community.,"body contact,accepting strangers from other communities.washing dead bodies.",no stranger is allowed to sleep in the village .all sick persons shold be reported to the nearest health center., government should  supply  food  to the quarratined homes.,"the community is willing to observe the by-laws set by the community ,if they are given the support needed."
2014-11-24,Moyamba,Kaiyamba,Mosoe,Wonde,NA,1,1,youth leader,Low,"to stop strangers from entering the village ,everybody should stay where they are until the  end of the out break.",when will the Ebola out break come to ab end?,"eating bush meat will lead to the spread of the deadly virous,avoid body contact.","the chiefdom by-laws should properly be monitored,",people should be given befitten and dignified burrial.,they need the support of the community leaders in the implimentation of these by-lwas.
2014-11-24,Moyamba,Timadale,Tombay,Molakoi,NA,1,1,NA,Medium,"Avoid body contact, Frequent hand washing","When school reopen?, When will ebola get out of the country?",Burying of dead bodies by community people ,No community member to keep sick person at home ,Disable are also inportant to take part in community activities,Yes
2014-11-25,Moyamba,Bumpe,Bumpeh,Bumpeh,NA,1,1,Town chief,High,"handwashing, avoid eatingbushmeat ,they should not accept stranger in the community,cleaning their environment daily.",NA,NA,NA,NA,NA
2014-11-25,Moyamba,Bumpe,Greema,Greema Momengemkema,NA,1,1,Depety head man,High,The way in wich the burial team carry out the burial activities ,"Why is the burial team comprise of any kind of people?, Whe the woman have a misscarriage do we the right to bury the child?",Washing of dead bodies and attend burial ceremonies,"No member of the community is allowed to attend burial ceremony, reject any body who attend burial, no community movement",Women shoul be part of the burial team,Lawness and farming activities
2014-11-25,Moyamba,Bumpe,Saima,Mogbesarie,NA,1,1,Imam,High,"Practice ABC method, avoid washing dead bodies, avoid eating bush meat",How ebola enter into sierra leone? What is ebola?,washing dead bodies,"Frequent hand washing, strangers are not allowed to stay into the community",women should be included in the burial team,they entrusted their members to carry out the task given to them
2014-11-25,Moyamba,Bumpe,Greema,Mosella ,NA,1,1,NA,Very High,"Frequent hand washing, no strangers are allowed, ",How to take care of a sick patient,Washing of dead bodies,"No stranger is allowed in the community, sick patient must vist the nearest health cntre","No body must attend burial ceremony or visit sick people, 100,000 for anybody who violate these rulesIi",Ineffenciency and farming activities
2014-11-25,Moyamba,Dasse,Bambuibuttommy,Bambuibu Tommy,NA,1,1,youth leader,Medium,Ebola has no boundary,what has the government done to contain the virous?,"overcrouding,body contact,washing dead body,touching the body of an infected person.",no stranger is allowed to sleep in the community without the knowledge of the stake holders in the community,the only way they  can help this situation  is to encourage everyone  to come onboard to fight against this deadly virous from the community.,they will find it very difficult to impliment the by-laws without the corporation of the community members
2014-11-25,Moyamba,Dasse,Foya,Foya,NA,1,1,member,Low,"almost all the symptoms of the Ebola virous are similar to that of malaria,typhoid and cholera.",is is true that Ebola is real?,"caring for the sick at home,unsafe burrial,accepting strangers from out side the community",all strangers should  see the town chief and PHU staff before entering into any house in the community.whosoever go aginst this law will be finned.,the paramount chief always encourage people to go to health center very early before their situations get worst.,they are very compliance to the by-laws .
2014-11-25,Moyamba,Dasse,Jayahum,Jayahum,NA,1,1,chief,High,the dress code of the burrial team makes them look like angels and this creat fearness in them.,has any vaccin been developed to cure this disease?,"washing the dead,body contact,visiting burrial homes",no visitors from other communities are allowed to stay in the village.,the chief advised all members of the community  to remain committed to the by-laws,if given the necessary support needed from the community members
2014-11-25,Moyamba,Dasse,Mano,Konovulahun,NA,1,1,youth leader,High,the Ebola disease is very easy to spread from one person to another .,when will Ebola end in sierra leone?,"washing dead body,visiting  burrial homes.","no lodging or allowing  strangers in their commenty,violation of this law is liable to a fine of Le 500,000",practing hygiene bycleaning their environment and washing their hands regularly.,they are too busy harvesting their rice
2014-11-25,Moyamba,Dasse,Taninahun,Mogbasetle,NA,1,1,member,High,"they should help them with chlorine, soap and hand sanitizer for the continuous washing of their hands.",is the Ebola virous visible or invisible?,"washing of dead bbodies,burring of dead bodies,visiting offineral homes ","to avoid the eating of bush animals like,monkeys which are the major carriers of the virous.no one is allowed to wash dead body, no visitor is allowed to sleep in the community.",they are pleading with the government to help improve the water facility for them in their community.and also provide them with veronica bucket for washing their hands,NA
2014-11-25,Moyamba,Dasse,Kenema,Semabu,NA,1,1,youth leader,High,the government quarratine people without giving them food.,when will Ebola come to an end?,"body contact,touching dead bodies, washing dead body",no stranger is allowed to stay in the community .,they all wish to see  the end of the Ebola epedimic,they need support to carry out the activties
2014-11-25,Moyamba,Dasse,Kapuima,Taninihun Kapuima,NA,1,1,member,Medium,those with symptoms of Ebola should quickly report  to health center.,is it true that it is realy Ebola that is killing people?,"visiting burial homes,washing  dead bodies,keeping sick persons at home.","visiting burrial homes,washing dead bodies,keeping sick persons at home are not allowedin the community",it is not advisable  to put a suspected Ebola patient  in the same Ambulance with someone who has already proved positive of the  Ebola virous. Pregnant women should aswell be properly cared for.Especially when they are about to give birth.And they should not be treated as Ebola patients.,the only obstacle is the lack of the necessary support from government to support the quaratinned homes with food.
2014-11-25,Moyamba,Fakunya,Tullu,Batama,NA,1,1,town chief,NA,is it true that Ebola is a curse?,what are the early symptoms of Ebola?,attending fineral homes and allowing strangers from different communities to come and stay.,no stranger is allowed in the community,NA,NA
2014-11-25,Moyamba,Fakunya,Njawa,Foyia Lappia,NA,1,1,member,Very High,is Ebola a disease from God or is it a man  made disease?,who brought Ebola to sierra Leone? And when will it come to an end?,"Washing dead bodies,body contact,getting close contact with an infected person","No hand shaking,no body contact,taking sick persons must be taken to health center.","No project in their cmmunity since the out break of Ebola in the country,they want school to reopen,they want the government to help them with veronica bocket for washing their hands.",the introduction was poor within the community
2014-11-25,Moyamba,Fakunya,To Dembalenga,Kondayama Village,NA,1,1,NA,Medium,NA,NA,NA,NA,NA,NA
2014-11-25,Moyamba,Fakunya,Kovella,Konoma,NA,1,1,youth leader,NA,"when bola will end,where does the disease come from?",Does the government have any solution to this problem?,"report all sick people to authority,aviod keeping of strangers,aviod going to burial homes.","no one should keep sick person at home,strangers should not be allowed in the communoty."," they are in need of veronica bucket for hand washing ,chlorine and soap",NA
2014-11-25,Moyamba,Fakunya,Kunyafoi,Njagbahun,NA,1,1,member,High,"the burial team should come early to collect dead boddies on time,there is also shotage in food supply, especially in the quarratined homes","when will Ebola end in sierra leone?,why must people predict a particular number that must  die before the end of the Epidemic?","the virous can be contracted throuh body contact,washing  of dead bodies","washing of dead bodies is serious crime in the village ,keeping strangers at home without the knowledge of the stake holdersn in the community is also a very serious crime.",schooling has seriously been afected due to the out break in the country.and this has lead to an increase in teenage pregnancy in most of the communities in the country,"if the are given the necessary support,they can observe all the by-laws that are been set by the community."
2014-11-25,Moyamba,Fakunya,Gardorhun,Nyadehun,NA,1,1,Immam,Medium,not to allowed strangers,If some one died of Ebola will they be safe to use the properties of the dead person?,they should not allowed body contact and they should not eat a fruit that has been eating by bats or monkeys.,If a stranger visit their community it should be made known to the authorities and that person should be returned back to where he/ she came from.,"they need help from the Government to supply them bucket, soap, chlorine and other nessary things needed to stop Ebola.",The time factor is not organized and most of the community people goes to their farms during the day.
2014-11-25,Moyamba,Fakunya,Songo,Pelehun,NA,1,1,community member,NA,after the Ebola Epidemic are we allowed to eat bush meat?,how would someone know that he/she may hav contracted the virous.,"taking care of sick people, accomondating strangers",no stranger is allowed in the community,NA,NA
2014-11-25,Moyamba,Fakunya,Maninga,Rogboya,NA,1,1,youth leader,NA,will the commmunity champion receive any insentive?,Does the government have any solution to this problem?,"overcrouding,body contact,washing dead body,touching the body of an infected person.","washing dead bodies are not allowed in the community, a fine of Le 60,000 is levy against whosoever is found guilty of this law.  ",very sturbond on attending meetings on times,NA
2014-11-25,Moyamba,Fakunya,Mende Gelema,Yoyema,NA,1,1,commmmunity member,NA,when will the ebola end?where does ebola comes from,the movement of business men and women in to the community has greatly been affected by the outbreak.,"having body contact,having sexual intercourse with an effected person , eating bush meat, and accomondating  strangers will lead to the spread of the virous",dead body should not be washed,"no obstacles,because the community is well informed by the stakeholders in the community.",NA
2014-11-25,Moyamba,Kaiyamba,Angigdoya,Gbonjeima,NA,1,1,Health Teacher,High,"They wanted to know how ebola came in to the country, when school will open",what is the history of ebola ,Touching the sick dead bodies people,"No stranger is allowed in the community, regular hThey no longer eat bush meat, and washing ","They no longer eat bush meat, no visitors are allowed in the community ","No mobile network, "
2014-11-25,Moyamba,Kaiyamba,Kpagia,Koegbotuma,NA,1,1,Youth Leader,Very High,We want to fight against zero new case of ebola infection ,"When will school reopen?, When will ebola end in sierra leone","Washing dead bodies, Touching sick people, Visiting burial homes","No strangers are allowed inti the community, No visiting of burial homes, Isolation of sick people, Regular hand washing",They will all adhear to the bylaws to ensure ebola is overcome,Monitary demand
2014-11-25,Moyamba,Kaiyamba,Lungile,Luvama,NA,1,1,youth leader,Medium,we all know that Ebola is real deadly virous.,when is Ebola  going to come to an end?,"visiting burial homes,washing dead bodies,keeping sick persons at home.","washing of dead body is not allowed,visitors are not allowed in the community.",there is no veronica bucket  in the village to promote regular hand washing,there is no veronica bucket  in the village to promote regular hand washing
2014-11-25,Moyamba,Kaiyamba,Mosoe,Nguabu,NA,1,1,member,Medium,eating bush meat (monkeys) can cause Ebola.,is it all bush meat that can cause the spread of Ebola?,"Ebola can spread through body contact,touching dead body,by eating bush meat.",no stranger is allowed to sleep in the villge without the knowledge of the  villageauthorites.,"if they are all ready to  change their behaviours,they can easily beat ebola.","the only obstacle they have in the  implimentation of these by-laws is the lack of chlorine, veronica bbuckets and soap."
2014-11-25,Moyamba,Kaiyamba,Koroboya,Ndambu ,NA,1,1,Youth Leader,Very High,Provision of protective materials like hand gloves to use if there is any sick person in the commnity,Where did the virus came from and how did it entered in Sierra Leone?,Through sexual intercourse,"No travelling out of the village, No one will be allowed into the community if he/she goes out.",Provission of hand gloves to the community,All the action plans are moving on because of the enforcement
2014-11-25,Moyamba,Kaiyamba Fakunya,Menda Gelema,Yoyema,NA,1,1,communitu vhairman,Low,"some pupils were asking to know when school will reopen, as some of their colleagues are getting pregnant as result of this outbreak.",where did the Ebola virous come from?,"Washing dead bodies,body contact,getting close contact with an infected person","no one is allowed to move out of the community for a long period of time,washing of dead body is not allowed.visiting fineral homes is prohibited.","according to them,they want the government to establih an Ebola treatment  center in there community. Also, they want to know when will Ebola come to an end?","since the board committee is mainly consist of authorities of the society,am sure there will be much success in the implimentation of this by-laws"
2014-11-25,Moyamba,Kongbora,Gibima,Gibina Town,NA,1,1,Youth Leader,High,NA,NA,NA,NA,NA,NA
2014-11-25,Moyamba,Kongbora,Gondama,Gondama,NA,0,1,Youth leader,High,"The community need thermometer to do normal temprature, ","When ewill ebola end in sierra leone?, What are the signs of ebola?","Washing and burying of dead bodies, through treating ebola patients","No one is allowed to wash and bury dead bodies, No keeping of strangers",NA,NA
2014-11-25,Moyamba,Kongbora,Mongeray,Levuma Ngormeh,NA,1,1,Town chief,High,The community members thank community mobilizers and discoureged enimity among themselves till Ebola end,"Who is really responsible for Ebola outbreak, is it the government or God?","Touching dead bodies, Keeping sick person at home for treatment, Greating or touching people, Keeping strangers","Don't eat bush meat, Do not wash, touch, or bury any dead body, Aviodkeeping strangers",Ebola has put many development project for our children and communities,"Most community members do not write and read english, The team should guide the people, List of bylaws is to be prepare and given to community members"
2014-11-25,Moyamba,Kongbora ,Mokorewo,Matagelema ,NA,1,1,Village Champion,High,Prectice regular hand washing ,Why do medical people take our sick people out of Moyamba community?,"Dead bodies, keeping Strangers, eating bush meat, touching ","All house household should have hand washing facilities, Avoid eating bush meat, No strangers are allowed, no touching, no pulic gearthering. ",All movement should stop and everybody should stay were he/she is ,No better law enforcement regarding ebola 
2014-11-25,Moyamba,Kongbora ,Mokorewo,Mokpondahun,NA,1,1,Village Champion,High,"Bush meat eating, body contact, safe burial","When will ebola come to an end?, will a survivor get or transfere ebola again?","Body contact, washing dead bodies, eating bush meat","No stranbgers are allowed, any animal couth should be burial with consent of the town chief ",The burial team washed ambulances in the stream where they get drinking water,Through their questions and contributions 
2014-11-25,Moyamba,Kongobora,Lawana,Lawana,NA,1,1,Boh Motivator ,High,We want to hear sierra leone ebola free,Is ebola going to continue for six month,"Tolarating strangers, body contact, ","Avoid eating bush meat, avoid touching dead bidies",Tool much of people are dying of this sickness,NA
2014-11-25,Moyamba,Kongobora,Tongea,Tongea,NA,1,1,Section chief,Medium,Lack of bucket for hand washing,When exactly school will open?,"Washing dead bodies, Attending to sick people",Strangers are not allowed in the community especially sick people,"No good drinking water, toilet facility and health facility",NA
2014-11-25,Moyamba,Kori,Bai Largo,Levulema,NA,1,1,advicer,Medium,is there medation for Ebola ?why now every one that sick is Ebola?,"movement of people,lodging of strangers,washing dead bodies.","accepting strngers, attending funerals,keeping  sick persons at home.",strangers are not allowed to stay in the village  without the knowledge of the village authorities. A fine is levied against any one breaking the law.,NA,NA
2014-11-25,Moyamba,Kori,Mokaba,Mokabba,NA,1,1,Imam,Very Low,they are not happy with the way the  burial team bury their relatives. ,what is the reason for spraying the burrier homes? Why wont they wash the body before burrier?,"overcrouding,body contact,washing dead body,touching the body of an infected person.","no strangers are allowed to sleep in the village,hunting of bush animal  is not allowed","from the discussion, one youth by the name of Quami, explined that when he was sick,he went to the hospital for treatment, but unfortunately,all the nurses abandoned him for fear of Ebola.","there will no obstacle, because the community is fully prepared and willing to give their best in support of the by-laws"
2014-11-25,Moyamba,Kori,Taiama,Taiama,NA,1,1,sowie,High,Many people are diying as a result of Ebola,When is Ebola coming to an end in the country?,"touching  dead body,washing,dead body,keeping sick persons at home",strangers are not allowed to stay in the village  without the knowledge of the village authorities. A fine is levied against any one breaking the law.,the paramount chief always encourage people to go to health center very early before their situations get worst.,"the authorities are very hard working,with the corporation of every member of the community these by-laws will strickly be follwed."
2014-11-25,Moyamba,Kori,Vaama,Vaama Village,NA,1,1,village head man,High,there is no provition of veronica bucket and chlorine for hand washing.,is Ebola a man made disease?,"visiting burial homes,washing dead bodies,keeping sick persons at home.",no visitors from other communities are allowed to stay in the village.,they need veronica bucket and chlorine  for hand washing,they need support to carry out the activties
2014-11-25,Moyamba,Mano Dasse,Semabu,Levuma,NA,1,1,Health worker,Very High,the Ebola outbrak was initially politised,has the covernment designed any solution to stop this outbreak?,attending fineral homes and allowing strangers from different communities to come and stay.,"washing of dead body is not allowed,visitors are not allowed in the community.","washing of dead body is not allowed,visitors are not allowed in the community.",they  are too busy with their farm work
2014-11-25,Moyamba,Timadale,Kamasunu,Nyadahun,NA,1,1,Village Champion,Very High,"No strager is allowed to entre the community,",NA,Dead bidies,"No stranger is alowed to entre the community, regular hand washing, no eating of bush meat",The back fall of education,NA
2014-11-25,Moyamba,Timadale,Dembelor,Dembelor Village,NA,1,1,Youth Leader,High,"The clorine mixture is very hash, The burial process is too good for theie confort","What is the origin of the ebola virus and how long will it last?, Whe is it that the ebola virues is not visible to the naked eyes?",Through Body contact,"No strangers should be allowed into the community, No keeping of escaped qurantine person","The medical team are giving dead bodies to the community for burial, We want to know why the government stated a particulay time in the fight against ebola.",Some community members still denying the fact that there is no ebola 
2014-11-25,Moyamba,Timadale,Sahun,Sahun,NA,1,1,youth,High,The most community concern is eating bush meat after ebola and their secret societies,"When will school open?, were ebola came from?, are we to eat pigs?","touching Sick people, ","NO strangers are allowed, avoid eating bush meat, avoid toching sick people",ebola is causing high rate of teenage pregrancy in the communityu,"community people are not practicies hand washing in the community, no network ,,community expectatation eg food"
2014-11-25,Moyamba,Timadale,Gbehia,Tissana,NA,1,1,Religeous Leader,Low,When some is sick he or she shoud go the nearest treatment centre,Are we to eat bush animals after ebola ,Touching an infected person of ebola virus ,"They should not receive strangers in the community, if any disobey the law, the fineis 100,000",Ebola has stop all our activities especially business,Disobedient of laws
2014-11-25,Moyamba,Timadale,Kabaya,Mokpanabam,NA,1,1,Teacher,High,The community is concern that ebola is a course,where did the ebola came from,washing dead body,the community  said if any member ascept strangers/guest un knowing to the town chief that person will pay a f a find ,let the government try to provide vaccine for this deadly diseases,NA
2014-11-25,Moyamba,Timadale,Mando,Bengah Mando,NA,0,1,NA,Medium,Ebola has cost them pain their wife are business people.Ebola catch you how long did some one takes before the person die if you did not any treatment.2,the community people asked place where this sick originated from congo whether these people were eating bats monkies,"aviod washing dead body. The community people says the easier way in which a person can contact ebola is when you touch a person that have died of ebola,",NA,NA,NA
2014-11-25,Moyamba,Timadale,Kambotoke,Bomotoke,NA,1,1,Youyh Leader,High,Ebola has stoped them from doing all their activities,"Where is the virus coming from?, Is the virus numeious or single in an infected person?, why is it that we should not touch eachother?",through body contact,"No strangers are allowed inti the community, no accomodation of escaped qurantined people",The PHU are reluctant in treating patients in fear of ebola ,NA
2014-11-25,Moyamba,Timadale,Mai,Manjama,NA,1,1,Chair man,High,They depend on prayer for ebola to go out of the country,is there any mwdcine to cure ebola?,"touching dead bodies, eating bush meat","NO strangers are allowed, call burial team to conduct burial",The community want to know more about the injaction and promise to keep these by laws effectively,they have put all measures in place to see that all the bylaws work effectively
2014-11-25,Moyamba,Timadale,Nugurba,Talia,NA,1,1,champion,High,"Lack of ebola medication, food and no school in the country","Are we going to receive mobile phones or money from from Restless Development?, ","Keeping of stranger, body contact","sick person is isolated, washing of hands with cholorine and soap before entering in the community","where did ebola comes from, and when ebola is going to end, why the shortage of soap and food","Farming, Lawlessness of the community members"
2014-11-25,Moyamba,Timadale,Yopoma,Mokonde,NA,1,1,Imam,Medium,Their normal business are being disturbed because there is no movement,"Why should we not eat bush meat?, Can ebola be in chicken, goat or sheep?",coming in contact with dead bodies,"No stranger is allowed into the community, freguent hand washing, isolation of all sick people",The people agreed that ebola will end one day,because the community population is small
2014-11-25,Port Loko,Buya Romende,Foredugu,Foredugu,Last week,1,1,NA,High,They said that the burial team should allowed a hand full of family member to accompany the dead to final resting place.,if they should avoid having sexual intercaues with there partners .,Visiting burial site,"No accommodation of stranger(s),avoid greeting by shaking hands.",The community members express thet the bye-laws are not been honored because of lack of people to enforce them,My only concerned is the chief need to put lot of effort to enforce the action plan.
2014-11-25,Port Loko,Buya Romende,Magbengbeh,Fransar,4 weeks or more,0,1,NA,Very High,Why poor people are the only one suffering from Ebola,They need medical attedtion.,Washing of dead bodies Hand shaking Eating bush meat.,"trangers are not allowed in theircommunity,no visitation of burial homes.",The respond of the burial is very slow.,They are very serious in implement their action plan.
2014-11-25,Port Loko,Buya Romende,Robis Bana,Hamdalai,4 weeks or more,1,1,Chief,Very High,Why the burial team survived from Ebola?,If I try to protect my self by eashing with warm water?,"Boby contact,hand wash.","No hunting,no funneral attendance,Strangers is allowed.",They asked for the provision of first aid treatment like ORS and paracitamol.,The people are hundred per cent law abiding.
2014-11-25,Port Loko,Buya Romende,Mabureh Buya,Mabureh ,Last week,0,1,Youth Leader,Very High,Willing to adhear to health authorities.,Why all clinic centres closed?Why is it today thatevery sickness is Related to Ebola.,Touching the dead and careing for the sick.,"Isolation of the sick,all sick people should be reported to the health centre.",They want to bury the dead and pray their love ones before buried.,"Yes,inaporprate communication line."
2014-11-25,Port Loko,Buya Romende,Mabureh Mende,Mabureh Mende,2-3 weeks,1,1,NA,Medium,Late arrival of the burial team and ambulance when there is a case.,When Ebola will end?Why community were not trained to buried their dead.,"Body Contact,burial visit.","Regular hand wash,environmental cleaning,No house visit,house to house supervision.",Community refreshment.,"Lack of transport by members of the five man committee ,lack of rubber for hand washing."
2014-11-25,Port Loko,Buya Romende,Kamasondo,Masonkie,4 weeks or more,0,1,Head Man,Very High,There most concern is to see Ebola to an end in Sierra Leone,When school will reopen?When Ebola will end.,Body contact with effected person.,"Strangers are not allowed,Isolation of sick.",They are in desprate need of rubbers to wash their hands.,The community said that the WFP sent people to register them but up to this time they have not received any food 
2014-11-25,Port Loko,Buya Romende,Gbara Kamba,Mayanneh ,4 weeks or more,1,1,Contact Tracer,Very High,Slow respond on 117 to arrived.,"Will there be provision of ORS,soap for washing hands.","Touching a sick person,Touching dead bodies.","Strangers are not allowed from another community,no community visitation from outsiders.","They said,they are free from Ebola.","Enforcement and general adherance by community members,but overall there is willingness to accept change."
2014-11-25,Port Loko,Buya Romende,Patifu Bana,Patifu Village,4 weeks or more,1,1,NA,Very High,The need for veronica bucket and chlorine for hand washing.,Why is the 117 not actively responding on time?,"Visitation of funeral home,Hand shaking and community burail.","Any community sruvivor should not be provoked,No community burail,Stranger(s) are not allowed,no hand shake.",Ebola gathering need food and refreshing and not empty talk because it take a lot of time.,No concern raiesd.
2014-11-25,Port Loko,Buya Romende,Manugbu,Pepel Village,4 weeks or more,1,1,Section chief,Very High,"No freedom of movement,no education in the country.",Why  the government do not provide drugs to prevent Ebola.,"Taking care of the sick or affected person of Ebola,wash or touch the body of a dead person ","No visitor is allow in the community,no washing or burry a dead person",No concern raised.,To help provide logistic for them in implementthe action plan.
2014-11-25,Port Loko,Buya Romende,Rokell,Robonko 1,4 weeks or more,1,1,Head Man,Very High,Slow respond on the 117 call line.,Why the poor only suffering from Ebola?What will their community benefitted from Restless Development?If rubbing of lime of on their body will prevent Ebola?,"Washing and burning of Ebola corps,hand shaking.","No strangers is allowed except with the permission of the chief,no community burial,weekly inspection for sick people.",NA,The farming is one obstaclethat disturbe the community to carry out the action plan.
2014-11-25,Port Loko,Buya Romende,Rosint Buya,Rsint Village,4 weeks or more,1,1,NA,Very High,No concerned raised.,Th asked for hand sanitizer to be in every housed.,Touching a sick person who has signs and sympotmsof Ebola,No stranger(s) are allowed to stay in the community in their community for any reason.No secret burial are allowed to performed unless the government.,The use of ORS when one experience the signs like vomiting and diahorrea.,Lack of soap and hand sanitizerto carry out regular hand wash.
2014-11-25,Port Loko,Buya Romende,Warreh Mopoteh,Worreh Mapoteh,4 weeks or more,1,1,Head Man,Very High,There has been no problem and we hope to continue this untill this thing is over.,How long Ebola host in a community.,Touching and care for the sick.,Sick people should report to the hospital at once.,Implementation of the law,"Enforcement and general adherance by community members,but overall there is willingness to accept change."
2014-11-25,Port Loko,Kaffu-Bullom,Kasongha,Gbambali,NA,1,1,Youth Leader,High,"how the burial teams are doing,attitudes of the health workers",when will ebola ends in sierra leone,eating of bush animal and community burial,"Avoid ABC,no strangers are allowed in the community",0,ready to do the work
2014-11-25,Port Loko,Kaffu-Bullom,Lungi,Lungi Town,2-3 weeks,1,1,Youth Leader,Very High,To include women in the birial teams,What will be the protocals for does not dieing of ebola,"Touching the sick, and dead bodies","No strangers are allowed in the community,calling of the 117 and allowing the burial to do burials in the community",Women to be include in the burial to take care of the female dead,ready to do the work
2014-11-25,Port Loko,Kaffu-Bullom,Rosint,Madina,4 weeks or more,1,1,Student,Medium,the burial team should give them the opportunity to bury their people,Is ebola a man made and why is it has a specific time to end,"Bury the dead,contact with the sick,hand shaking","No public gathering,no secret socity ,no community burial",The set back of education in the country and the girls,To train the chiefs on the laws about ebola
2014-11-25,Port Loko,Kaffu-Bullom,Mahera,Mahera,4 weeks or more,1,1,Group head,High,No proper burial pratice and the grave are shallows,That ebola is real,"wahing dead bodies, touching the sick and attending funerals",All strangers must be reported to the chiefs,The burial teams to improve on the way they bury,people are ready to do the work
2014-11-25,Port Loko,Kaffu-Bullom,Mamankie,Mamankie,NA,1,1,head man,Very High,The manner of the burial team in bury the people,When will ebola ends,body contact and washing of dead bodies,"no strangers are allowed in the community,house to house checking, every 5:00 no boat is allowed in the community",spraying of the people is too much,ready to do the work
2014-11-25,Port Loko,Kaffu-Bullom,Mayaya,Mayaya Town,4 weeks or more,1,1,Youth Leader,Low,When will ebola come to an end,if washing hands ends ebola,"washing of dead bodies, visiting funerals,hiding sick","Isolation of the sick, no strangers are allowed, calling of 117",they don‰Ûªt have rubber to wash their hands,they are ready  do the work
