Date_of_Visit,District,Chiefdom,Section,Name_of_community,f_q1,f_q2,f_q3,f_q4,f_q5,f_q6
2015-01-08,Bo,Bagbo,NA,Jimmi,1,"proper burial practices. By the Ebola team, ",NA,When is ebola going to end.,Full implementation of bye laws,"Ebola Chek point implemented,No accommodation of strangers."
2015-01-09,Bo,Bagbo,NA,Senehun Ngola,1,Community paicipation now in burial services.,NA,Why the Government should local market.,Full implementation of bye laws,"No accommodation of strangers,all sik and death people should be reportd to health centre."
2015-01-06,Bo,Bagbo,NA,Mattru,1,Improvement in the burial team services.,NA,Government Need to do some thing to end Ebola,Full implementation of bye laws,NA
2015-01-07,Bo,Bagbo,NA,Bandajuma,1,"proper burial practices. By the Ebola team, ",NA,When is ebola going to end.,Their Concern is that ebola is real and they joint hands together to fight ebola.,No new bye law Developed
2015-01-08,Bo,Bagbo,NA,Niagorehun,0,NA,They burial team will only lay bodi in the grave and the do the rest,To jointly pray that the bola Evirus come to an end.,To follow the bye lows to end ebola.,No new bye law developed
2015-01-09,Bo,Bagbo,NA,Kpetewoma,0,NA,The burial team dose not come on time.,To do their best to end Ebola by keeping the necessary bue laws.,Community involvemnt in the burial exercise  Thire dead families are now handle with care,No stranger must enter  their community after 7pm 
2015-01-06,Bo,Bagbo,NA,Futa,1,Poper care taking of dad body.,NA,How can you know if some ne has Ebola.,Sick peole must be reported to the health centre.,No one is allowed to attend any Burial services.
2015-01-08,Bo,Bagbo,NA,Ngegboma,1,Good care,NA,NA,Sick eople are now reported to the hospital.,"Sick persons must go to the health facility, No hunting, No hand shaking, No Accommodation of strangers."
2015-01-07,Bo,Bagbo,NA,Nyandehun,NA,NA,NA,"Who brings Ebola in the contry, When Ebola Will finish.","Isolation of sic people, Sickpeople must be reported to the hospital.","No toching or washinf of dead body, No eneing of vehicles after 7mp, No public gathering."
2015-01-09,Bo,Bagbo,NA,Baoma,NA,NA,NA,When Ebola is going to end,The awareness of the community people is Now increased on Ebola.,Secret Society
2015-01-06,Bo,Bagbo,NA,Senehun Somba,0,NA,LateArrival  of  the burial team,"Late coming of burial team,Traninig of burial team at chief dom level.",Increase in the awarenss to Ebola Issues.,Safe burial Services .
2015-01-09,Bo,Bagbo,NA,Ngolapon,NA,NA,NA,"Backwarnss in Edcation, increase in Teenage pregnancy.",Increase in the awareness to Ebola issue,"No Hand shaking,"
2015-01-08,Bo,Bagbo,NA,Mokoba,NA,NA,NA,"No Schooling their children, Increase in teenage pregnancy.",Increase in awareness of Ebola issue.,Encorage Community child birth attendance to do child birth delivery.
2015-01-09,Bo,Bagbo,NA,Ndeima,NA,NA,NA,"Backwarnss in Edcation, increase in Teenage pregnancy.",Increase in the awareness to Ebola issue,"No Hand shaking,"
2015-01-08,Bo,Bagbo,NA,Bumpewo,NA,NA,NA,"No Schooling their children, Increase in teenage pregnancy.",Increase in awareness of Ebola issue.,Encorage Community child birth attendance to do child birth delivery.
2015-07-01,Bo,Bagbwe,NA,Sami,NA,NA,NA,The government should provides malaria medicines to the rural community,The action plan is really working to fight against Ebola,No bush meat eating
2015-01-06,Bo,Bagbwe,NA,Buma,NA,NA,NA,"Their children are not benefiting from the radio teaching, besides the government should close their boundary with Gunea and Liberia.",Community members are willing to report all their health stastus to the health center.,"Using the ABC method, No eating of bush meat"
2015-01-09,Bo,Bagbwe,NA,Kondiama,NA,NA,NA,Government sholud train people at chiefdom level ( Bagbwe chiefdom),Community members accepted that Ebola is real and are keeping to the bye laws.,"No hosting of strangers, No washing of the dead bodies"
2015-01-07,Bo,Bagbwe,NA,Gbama,1,Because they burial team allowed them to offer prayer on their decease daughter and were shown the grave side.,NA,Pleading to government to train community members to do their own burial,"Community members are willing to visit the health center for check up, and freequently and regularly  washing their hands.",Frequent testing of the temperature and hand washing
2015-01-08,Bo,Bagbwe,NA,Benduma,1,The community members were allowed to offer prayers on the dead body and were at the grave side.,NA,The community members need burial team at community level,Community members are now willing to report their health conditions at the health center,No initiation of secrete societies.
2015-01-09,Bo,Bagbwe,NA,Niahun,NA,NA,NA,They want the Ebola outbreak to come to an end now,Children are not allowed to play at night or visit other people's compound,The community has monitors that are in charge for anyone that keep or smugle strangers
2015-01-07,Bo,Bagbwe,NA,Kpetema,NA,NA,NA,They are asking God Almighty to end the Ebola virus,Frequent checking of the temperature,Special rooms for strangers or visitors
2015-01-08,Bo,Bagbwe,NA,Pelewahun,1,Because the burial team gave respectful burial to their lost one,NA,Government sholud train society heads to be part of the burial team at chiefdom level ( Bagbwe chiefdom),Frequent hand washing with soap and water,A team set up to do room to room checking for any hiding strangers
2015-01-13,Bo,Bagbwe,NA,Mendewa,NA,NA,NA,Community members are obeying the bye laws and prating for the Ebola to come to an end,Community members set up a monitary team to check for strangers that are healthy or sick to evaquate their community,The formation of task force committee
2015-01-06,Bo,Bagbwe,NA,Kpakuma,1,Because the burial team allowed them to pray on the dead body when it was confirmed Ebola negative and they came to realised that the burial team are there to protect them form catching the Ebola virus.,NA,"Praying fervently to God to end the Ebola, keep the bye laws",Frequent hand washing with soap and chlorine,No touching or washing of the dead
2015-01-07,Bo,Bagbwe,NA,Vengema,1,Because the burial team allowed them to pray on the dead body when it was confirmed Ebola negative and they came to realised that the burial team are there to protect them form catching the Ebola virus.,NA,Birds and other animals have destroyed their plants as a result of Ebola,"No unecessary visit, everybody stays at his/her compound",Donâ€™t burried the dead call 117 for safe burial
2015-01-08,Bo,Bagbwe,NA,Barma,NA,NA,NA,The are appealing to government to try by all possible means to get vaccine for Ebola,Community members are willing to go to the health centre when they feel sick or experience any symptoms,Avoid eating bush meat
2015-01-09,Bo,Bagbwe,NA,Ngalu,1,Because the community members were allowed to offer prayers on the dead body,NA,Government should lift the state of emmergency so that people can go about their normal activities,The community members do refers all sick people now to the health center,Aviod body contact
2015-01-08,Bo,Bagbwe,NA,Ngalu New Town,1,Yes because it prevent them from catching the Ebola virus,NA,"The are appealing to government to try by all possible means to get vaccine for Ebola, and SMAC to provide the champions with mobile phones",The community members do refers all sick people now to the health center,Donâ€™t burried the dead call 117 for safe burial
2015-01-07,Bo,Bagbwe,NA,Gibina,1,Yes because it prevent them from catching the Ebola virus,NA,The are appealing to government to try by all possible means to get vaccine for ebola and Restless Developmet to provide champions with top up cards,The community members do refers all sick people now to the health center,Frequent hand washing 
2015-01-06,Bo,Bagbwe,NA,Blama,1,Because the burial team are train and qualified for the job,NA,We want our children to go back to school,The community members do refers all sick people now to the health center,Avoid body contact
2015-01-15,Bo,Bagbwe,NA,Palima,1,They feel atisfied with the new burial team,NA,They want the ebola to end so that things will go back normal,There has been frequent hand wasging,No strangers are allowed 
2015-01-16,Bo,Bagbwe,NA,Konjogiehun,1,They feel atisfied with the new burial team,NA,They want the ebola to end so that things will go back normal,Massive awareness about ebola,No strangers are allowed
2015-01-13,Bo,Bagbwe,NA,Kpetema,NA,NA,NA,There concer is what next after ebola,Frequent Hand washing,No body contact
2015-01-14,Bo,Bagbwe,NA,Konjondoma,NA,NA,NA,there concern is that hen vaccine will be avaible for ebola,Strangers are not allowed,Strangers are not allowed
2015-01-14,Bo,Bagbwe,NA,Yangabu,NA,NA,NA,They are sick and tired of Ebola because it has brought backwardness to the country even in the educational sector etc,Obeying all the bye laws to kick Ebola out of the country,No hand shaking or body contact
2015-01-16,Bo,Bagbwe,NA,Lowuma,NA,NA,NA,Community members are willing to obey the bye until Ebola is gone ,Frequent hand washing,Report all sicknesses to the medical team or health center
2015-01-15,Bo,Bagbwe,NA,Langulama,NA,NA,NA,The want this ebola to end now so that everything will go back normal,The bye laws is really helping to end ebola,No public Gathering
2015-01-15,Bo,Bagbwe,NA,Bangabu,NA,NA,NA,The government has really deprived their children from going to school,Th restiction of long time strangers,Donâ€™t touch or wash dead bodies
2015-01-16,Bo,Bagbwe,NA,Walihun,NA,NA,NA,The issue of teenage pregnancy is on the increase,Frequent and regular hand awshing,No public or social gathering
2015-01-13,Bo,Bagbwe,NA,Kpawula,NA,NA,NA,The government should supply chlorine to the community,Avalability of veronica bucket in the co  unity to do frequent hand washing,Dont hide sick people at home
2015-01-16,Bo,Bagbwe,NA,Kpetewoma,NA,NA,NA,The burial team did not respond on time,All sick people are now going to the health center and all  burial are conducted by the burial team,No bush meat eating
2015-01-13,Bo,Bagbwe,NA,Kpatou,NA,NA,NA,When schools will be reopen,The bye-laws are really active and effective in the community,No bush meat eating
2015-01-14,Bo,Bagbwe,NA,Foindo,NA,NA,NA,Their main concern is about the shortage of food,All sick people are now visiting the health center,Frequent hand washing
2015-01-13,Bo,Bagbwe,NA,Yawei,0,NA,the demand for money,When schools will be reopen,All sick people are now visiting the health center,No dead body washing
2015-01-15,Bo,Bagbwe,NA,Kpawula,NA,NA,NA,The shortage of food in the country and the restriction of people's movement,Strangers have been strongly rejceted,"No public gathering, no community burial."
2015-01-16,Bo,Bagbwe,NA,Bijia,NA,NA,NA,The government should train burial teams at chiefdom level because of the delay of the district  burial team ,A village hand washing center has been created,"Strangers are not allowed to stay in the community, one should not wash or touch dead bodies"
2015-01-14,Bo,Bagbwe,NA,Yengema,NA,NA,NA,To have a burial team at chiefdom level,All sick people are now visiting the health center,No secret Society
2015-01-15,Bo,Bagbwe,NA,Mokpendeh,NA,NA,NA,To have a burial team at chiefdom level,All sick people are now visiting the health center,No body contact
2015-01-06,Bo,Baoma,NA,Kponima,1,They were satisfied with the manner the burail team conducte the burial.,NA,The must observe all the Dos and DONâ€™T of Ebola.,They have clean the entire township .,No bike is allow in the community after six o clock.
2015-01-07,Bo,Baoma,NA,Jombohun,1,Because the it help to prevent.,NA,They should continue prayers in both mosque and church for Ebola.,Weekly cleanig in the community  and people visiting the health center.,No eating of bush meat
2015-01-08,Bo,Baoma,NA,Gbahun,1,It prevent them for the ebola virus.,NA,Schools should now reopens for their childern .,Cleaning the town and stream were the use to take their bath.,Regular hand washing by members of the community.
2015-01-09,Bo,Baoma,NA,Gbahama,1,It protcet the speard of the virus.,NA,They need top up card to commumicate issuse realated to Ebola.,Strict observation of the strangers and community cleaning.,No body is allowed touch the dead.
2015-01-09,Bo,Baoma,NA,Foindu,1,This can help to stop the spread .,NA,When will sierra leone declere Ebola free.,They now aspect that Ebola is real and they are really to fright it.,Donâ€™t allow strangers to enter the community.
2015-01-08,Bo,Baoma,NA,Niama,0,NA,They are not happy  because the burial team donâ€™t wash their dead.   ,The government should open schools now.,People are now frequent in the hospital and they always go for check-up.,Donâ€™t touch sick person and donâ€™t wash dead body.
2015-01-06,Bo,Baoma,NA,Baoma Station,1,Because family memers were allowed to pray on corps,NA,when school since Ebola is still in country.,All strange coming in the country should be issolated for twenty one days before interacting with other people.,All stranger coming in the community should be issolated.
2015-01-07,Bo,Baoma,NA,Baoma Old Town,1,prevent them for the virus.,NA,SMAC should provide hand washing bucket for them.,People now have confidence in the haelth workers.,No body is allow to keep sick person at home.
2015-01-08,Bo,Baoma,NA,Waiima,1,Because the corps was treated with respect,NA,The government should train their own members to conduct burial.,They now have confidence in the burial teams.,All bike must not enter the community after 7:pm.
2015-01-09,Bo,Baoma,NA,Gbandi,1,Because family memers were allowed to pray on corps,NA,Government should provide medicine for other sickness such as malarial typhoid.,The Gbandi community is now clean.,Coffeer order at 9;00pm daily.
2015-01-06,Bo,Baoma,NA,Kpumbu,1,According to the community member handle body properly.,NA,They community members are more concern about the burieal team they want their own team to take part in the process.,People now go to the health center.,Community house to house visit.
2015-01-07,Bo,Baoma,NA,Kortumahun,1,The community has no case of dead body since the Ebola out break.,NA,Education majority of the community members are worried when their children will return school.,Community members are now serving as watch dogs for each other in case of any intervention.,All travel must stop with immediate effect.
2015-01-08,Bo,Baoma,NA,Njaluahun,1,The community has no case of dead body since the Ebola out break.,NA,Agricultural product are pershing because farmers are not allowed to come to the big town to sell their product.,There is no related case in the community.,Now people are visiting the health centre.
2015-01-09,Bo,Baoma,NA,Manowa,1,They community were so pleased with conducting of the burieal process.,NA,Agricultural product are pershing because farmers are not allowed to come to the big town to sell their product.,There is no related case in the community.,Strangers are not allowed to entre in the community.
2015-01-06,Bo,Baoma,NA,Gerihun,1,They burieal team allowed prayers to be said on the corpes.,NA,The re opening of school.,People have accept Ebola as real disease.,All sick must be reported to the health centre.
2015-01-08,Bo,Baoma,NA,Gollu,1,The burial team now allowed us to say prayer.,NA,Ebola is reducing interm of new cases every day.,They are now taking most common problem in other to prevent their community from Ebola.,Corps/dead bodies should not be touched or wash by community members.
2015-01-07,Bo,Baoma,NA,Palima 2,0,NA,The dead is not treated with respect.,The government should please under all cost reopen school for their childern.,The community people adhered to the Ebola preventive laws.,"No harboueing of sick person at homes,and no touching or washing of the dead."
2015-01-09,Bo,Baoma,NA,Konia,1,The community people are now given the previlege to pay their last respect.,NA,The government should consider the reopening of school.,They are now happy with Ebola update result as it now reducing.,All sick must be reported to the health centre.
2015-01-07,Bo,Baoma,NA,Nolobogoma,1,It really help to pervent them.,NA,When will Ebola end in sierra Leone?,No sick person or dead since their last visit.,No washing of the dead.
2015-01-06,Bo,Baoma,NA,Kormende,1,They are now allowing them to give last respect.,NA,For school to open because their children are surfering greatly.,"Because they are obeying the byelaws, so they are Ebola free. ",Frequent hand washing and no body contact.
2015-01-09,Bo,Baoma,NA,Yambama,1,Because the government want to prevent them.,NA,They pray that Ebola will go out of our nation.,Sice our last visit  there have  been no Ebola case.,Refering the sick to the health center.
2015-01-06,Bo,Baoma,NA,Pelewahun Ngiebu,1,They the family member now taking part in the burial issue.,NA,The community people together with the government should fight and stop against Ebola.,The community is no longer allowing stranger.,No stranger is allowed to enter their commnitiy with pass/ID card.
2015-01-07,Bo,Baoma,NA,Taninahun,1,This will help prevent them from the  virus.,NA,This deadly disease will come to end.,Weekly cleanig in the community  and people visiting the health center.,Take all sick people to the health centers.
2015-01-08,Bo,Baoma,NA,Gbinima,1,Protect them from the virus.,NA,Ebola have change the their culture.,Community having soap and water for regular hand washing.,Avoid washing the dead bobies.
2015-01-06,Bo,Baoma,NA,Farbu,1,Because the burial team now burial with care and respect.,NA, The government should provide medication for Ebola.,Every one in the community is obeying the bye-laws.,No accormodation of stranger.
2015-01-07,Bo,Baoma,NA,Kortumahun,1,It will prevent them .,NA,Ebola have change the their culture.,The government should provide drugs for Ebola.,No public garthering allowed.
2015-01-09,Bo,Baoma,NA,Guallu,1,Because they want to stop the speard of the virus.,NA,The government should open schools now.,"Because they are obeying the byelaws, so they are Ebola free. ",No hand shaking.
2015-01-08,Bo,Baoma,NA,Gangama,NA,NA,NA,Government should provide medicine for other sickness such as malarial typhoid.,No Ebola case because they are obey the byelaws.,Avoid eating bush meat.
2015-01-14,Bo,Baoma,NA,Sandia,NA,NA,NA,The community is egger to known when Ebola will come to an end?,Implementation of  the bye laws.,No stranger is allow in their community
2015-01-13,Bo,Baoma,NA,Kpatobu,1,Because they want to be Ebola free,NA,When will school reopen ?,Enforcing the bye laws by the community.,Sterangers are not allow in their commumity .
2015-01-16,Bo,Baoma,NA,Tungebebu,NA,NA,NA,The government should provide drugs.,Self awaraness by members.,No washing of dead body.
2015-01-14,Bo,Baoma,NA,Semibu,NA,NA,NA,The government should provide drugs.,Self awaraness by members.,No community burial.
2015-01-13,Bo,Baoma,NA,Ngeyamie,1,The selected one family member to joined the burail team to under take the processs.,NA,The government should provide drugs.,Self awaraness by members.,No one should keep the sick at home.
2015-01-15,Bo,Baoma,NA,Ngualu,1,Because they were allow to say their prayers.,NA,The government should provide drugs.,Self awaraness by members.,Isolating the sick people.
2015-01-16,Bo,Baoma,NA,Maina ,1,The  burieal team team now asked for religious form part of the dead in order to offer prayers on the dead body.,NA,They want school to rre-opened now.,Self awaraness by members.,Sterangers are not allow in their commumity .
2015-01-13,Bo,Baoma,NA,Feiba,1,They are satisfied with them because they allowed them to follow them to the cemetery.,NA,No strangers are allowed in the community.,They believe that Ebola is real and it kill in high rate.,No body is allowed to keep sick person at home.
2015-01-13,Bo,Baoma,NA,Komende,1,For the disease not to spread.,NA,They want to go back to their normal business.,Sick person now report to the health centre.,NO new bye laws is formed.
2015-01-15,Bo,Baoma,NA,Hagbahun,1,It helps to eradicate Ebola,NA,They heard that Ebola will come to an end,They donâ€™t burieal dead people again instead they call 117.,NO new bye laws is formed.
2015-01-14,Bo,Baoma,NA,Matema,NA,NA,NA,They should joined hand to fight the killer disease.,They have started general cleaning.,NO new bye laws is formed.
2015-01-13,Bo,Baoma,NA,Yakaji,NA,NA,NA,The bye-laws is observed in the community to eradicate the Ebola virus.,They have started general cleaning.,Cleaning is one of the bye-laws that have been developed since our last visit.
2015-01-15,Bo,Baoma,NA,Komende,NA,NA,NA,Government must put all measure in place to speedily eradicate the virius.,They have started general cleaning.,NO new bye laws is formed.
2015-01-16,Bo,Baoma,NA,Hungay,1,Because it is safe and dignified since family are allowed to witness the burieal and prayers were offered.,NA,When will school reopen ?,They have started general cleaning.,NO new bye laws is formed.
2015-01-13,Bo,Baoma,NA,Nyagolihun,1,They people now pray by the dead body.,NA,When will school reopen ?,There has been no Ebola case since our last visit.,NO new bye laws is formed.
2015-01-16,Bo,Baoma,NA,Njaluahun(Bongema),1,They community people to put some materials with the dead to carried to the grave.,NA,When will school reopen ?,Community now report sick people to the health centre.,Sterangers are not allow in their commumity .
2015-01-15,Bo,Baoma,NA,Tongima,1,They community now include in the burieal process.,NA,When will school reopen ?,No sick person in the community.,NO new bye laws is formed.
2015-01-14,Bo,Baoma,NA,Kigbai,1,Community people now followed the burieal team to the grave.,NA,Government should help them with food as their food has destroyed during the period of quarentee.,Frequent hand washing.,NO new bye laws is formed.
2015-01-13,Bo,Baoma,NA,Sawulla,NA,NA,NA,Sick people are now goining to the health centre.,After 9;00 clock no bikes are allowed in the village.,NO new bye laws is formed.
